id,gitbook_path,cookbook_file,cookbook_line_range,status
guides/build-end-to-end-rag-pipeline/adding-document-references#installation/linux-macos-or-windows-wsl:1,guides/build-end-to-end-rag-pipeline/adding-document-references.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/adding-document-references#installation/windows-powershell:1,guides/build-end-to-end-rag-pipeline/adding-document-references.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/adding-document-references#installation/windows-command-prompt:1,guides/build-end-to-end-rag-pipeline/adding-document-references.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/adding-document-references#project-setup/extend-your-rag-pipeline-project:1,guides/build-end-to-end-rag-pipeline/adding-document-references.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/adding-document-references#1-build-the-reference-formatter-pipeline/create-the-reference-formatter-step:1,guides/build-end-to-end-rag-pipeline/adding-document-references.md,how-to-guides/build_end_to_end_rag_pipeline/004_adding_document_references/pipeline.py,12-49,CONTENT_DRIFT
guides/build-end-to-end-rag-pipeline/adding-document-references#1-build-the-reference-formatter-pipeline/compose-the-final-pipeline:1,guides/build-end-to-end-rag-pipeline/adding-document-references.md,how-to-guides/build_end_to_end_rag_pipeline/004_adding_document_references/pipeline.py,50-50,IN_SYNC
guides/build-end-to-end-rag-pipeline/adding-document-references#2-run-the-pipeline/configure-and-invoke-the-pipeline:1,guides/build-end-to-end-rag-pipeline/adding-document-references.md,how-to-guides/build_end_to_end_rag_pipeline/004_adding_document_references/pipeline.py,54-63,IN_SYNC
guides/build-end-to-end-rag-pipeline/adding-document-references#2-run-the-pipeline/observe-output:1,guides/build-end-to-end-rag-pipeline/adding-document-references.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/caching#installation/linux-macos-or-windows-wsl:1,guides/build-end-to-end-rag-pipeline/caching.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/caching#installation/windows-powershell:1,guides/build-end-to-end-rag-pipeline/caching.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/caching#installation/windows-command-prompt:1,guides/build-end-to-end-rag-pipeline/caching.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/caching#project-setup/extend-your-rag-pipeline-project:1,guides/build-end-to-end-rag-pipeline/caching.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/caching#1-set-up-your-cache-data-store/create-the-cache-data-store:1,guides/build-end-to-end-rag-pipeline/caching.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/caching#option-1-pipeline-level-caching/enable-caching-for-the-entire-pipeline:1,guides/build-end-to-end-rag-pipeline/caching.md,how-to-guides/build_end_to_end_rag_pipeline/008_caching/pipeline.py,15-54,CONTENT_DRIFT
guides/build-end-to-end-rag-pipeline/caching#option-2-multi-level-caching/enable-caching-for-the-step-and-pipeline-level:1,guides/build-end-to-end-rag-pipeline/caching.md,how-to-guides/build_end_to_end_rag_pipeline/008_caching/pipeline.py,15-54,CONTENT_DRIFT
guides/build-end-to-end-rag-pipeline/caching#3-run-the-pipeline/configure-the-pipeline-state-for-testing:1,guides/build-end-to-end-rag-pipeline/caching.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/caching#3-run-the-pipeline/run-the-pipeline-first-time-cache-miss:1,guides/build-end-to-end-rag-pipeline/caching.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/caching#3-run-the-pipeline/run-the-same-pipeline-again-cache-hit:1,guides/build-end-to-end-rag-pipeline/caching.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/dynamic-step#installation/linux-macos-or-windows-wsl:1,guides/build-end-to-end-rag-pipeline/dynamic-step.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/dynamic-step#installation/windows-powershell:1,guides/build-end-to-end-rag-pipeline/dynamic-step.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/dynamic-step#installation/windows-command-prompt:1,guides/build-end-to-end-rag-pipeline/dynamic-step.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/dynamic-step#project-setup/extend-your-rag-pipeline-project:1,guides/build-end-to-end-rag-pipeline/dynamic-step.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/dynamic-step#create-the-enhanced-pipeline/define-the-toggle-state:1,guides/build-end-to-end-rag-pipeline/dynamic-step.md,how-to-guides/build_end_to_end_rag_pipeline/002_dynamic_step/pipeline.py,21-26,CONTENT_DRIFT
guides/build-end-to-end-rag-pipeline/dynamic-step#create-the-enhanced-pipeline/create-the-toggle-steptutorialsorchestrationstepstoggle:1,guides/build-end-to-end-rag-pipeline/dynamic-step.md,how-to-guides/build_end_to_end_rag_pipeline/002_dynamic_step/pipeline.py,50-53,IN_SYNC
guides/build-end-to-end-rag-pipeline/dynamic-step#create-the-enhanced-pipeline/compose-the-final-pipeline:1,guides/build-end-to-end-rag-pipeline/dynamic-step.md,how-to-guides/build_end_to_end_rag_pipeline/002_dynamic_step/pipeline.py,55-56,IN_SYNC
guides/build-end-to-end-rag-pipeline/dynamic-step#2-run-the-pipeline/configure-the-pipeline-state-for-testing:1,guides/build-end-to-end-rag-pipeline/dynamic-step.md,how-to-guides/build_end_to_end_rag_pipeline/002_dynamic_step/pipeline.py,59-73,IN_SYNC
guides/build-end-to-end-rag-pipeline/implement-semantic-routing#installation/linux-macos-or-windows-wsl:1,guides/build-end-to-end-rag-pipeline/implement-semantic-routing.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/implement-semantic-routing#installation/windows-powershell:1,guides/build-end-to-end-rag-pipeline/implement-semantic-routing.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/implement-semantic-routing#installation/windows-command-prompt:1,guides/build-end-to-end-rag-pipeline/implement-semantic-routing.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/implement-semantic-routing#project-setup/extend-your-rag-pipeline-project:1,guides/build-end-to-end-rag-pipeline/implement-semantic-routing.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/implement-semantic-routing#project-setup/create-the-route-examples-file:1,guides/build-end-to-end-rag-pipeline/implement-semantic-routing.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/implement-semantic-routing#create-the-semantic-router:1,guides/build-end-to-end-rag-pipeline/implement-semantic-routing.md,how-to-guides/build_end_to_end_rag_pipeline/003_implement_semantic_routing/pipeline.py,7-55,CONTENT_DRIFT
guides/build-end-to-end-rag-pipeline/implement-semantic-routing#create-the-general-query-handler:1,guides/build-end-to-end-rag-pipeline/implement-semantic-routing.md,how-to-guides/build_end_to_end_rag_pipeline/003_implement_semantic_routing/pipeline.py,8-55,CONTENT_DRIFT
guides/build-end-to-end-rag-pipeline/implement-semantic-routing#create-the-enhanced-pipeline/create-the-general-query-step:1,guides/build-end-to-end-rag-pipeline/implement-semantic-routing.md,how-to-guides/build_end_to_end_rag_pipeline/003_implement_semantic_routing/pipeline.py,68-74,CONTENT_DRIFT
guides/build-end-to-end-rag-pipeline/implement-semantic-routing#create-the-enhanced-pipeline/create-the-switch-step:1,guides/build-end-to-end-rag-pipeline/implement-semantic-routing.md,how-to-guides/build_end_to_end_rag_pipeline/003_implement_semantic_routing/pipeline.py,75-84,CONTENT_DRIFT
guides/build-end-to-end-rag-pipeline/implement-semantic-routing#2-run-the-pipeline/configure-and-invoke-the-pipeline:1,guides/build-end-to-end-rag-pipeline/implement-semantic-routing.md,how-to-guides/build_end_to_end_rag_pipeline/003_implement_semantic_routing/pipeline.py,92-100,IN_SYNC
guides/build-end-to-end-rag-pipeline/implement-semantic-routing#2-run-the-pipeline/test-with-knowledge-base-queries:1,guides/build-end-to-end-rag-pipeline/implement-semantic-routing.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/implement-semantic-routing#2-run-the-pipeline/test-with-general-knowledge-queries:1,guides/build-end-to-end-rag-pipeline/implement-semantic-routing.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/multimodal-input-handling#installation/linux-macos-or-windows-wsl:1,guides/build-end-to-end-rag-pipeline/multimodal-input-handling.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/multimodal-input-handling#installation/windows-powershell:1,guides/build-end-to-end-rag-pipeline/multimodal-input-handling.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/multimodal-input-handling#installation/windows-command-prompt:1,guides/build-end-to-end-rag-pipeline/multimodal-input-handling.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/multimodal-input-handling#project-setup/start-from-your-rag-pipeline-project:1,guides/build-end-to-end-rag-pipeline/multimodal-input-handling.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/multimodal-input-handling#extending-the-pipeline/define-the-extended-state:1,guides/build-end-to-end-rag-pipeline/multimodal-input-handling.md,how-to-guides/build_end_to_end_rag_pipeline/007_multimodal_input_handling/pipeline.py,23-29,CONTENT_DRIFT
guides/build-end-to-end-rag-pipeline/multimodal-input-handling#extending-the-pipeline/create-a-function-to-create-the-extra-contents:1,guides/build-end-to-end-rag-pipeline/multimodal-input-handling.md,how-to-guides/build_end_to_end_rag_pipeline/007_multimodal_input_handling/pipeline.py,9-42,CONTENT_DRIFT
guides/build-end-to-end-rag-pipeline/multimodal-input-handling#extending-the-pipeline/update-the-response-synthesizer-with-a-new-prompt:1,guides/build-end-to-end-rag-pipeline/multimodal-input-handling.md,how-to-guides/build_end_to_end_rag_pipeline/007_multimodal_input_handling/pipeline.py,8-66,CONTENT_DRIFT
guides/build-end-to-end-rag-pipeline/multimodal-input-handling#extending-the-pipeline/update-the-pipeline-steps:1,guides/build-end-to-end-rag-pipeline/multimodal-input-handling.md,how-to-guides/build_end_to_end_rag_pipeline/007_multimodal_input_handling/pipeline.py,63-71,CONTENT_DRIFT
guides/build-end-to-end-rag-pipeline/multimodal-input-handling#extending-the-pipeline/compose-the-final-pipeline:1,guides/build-end-to-end-rag-pipeline/multimodal-input-handling.md,how-to-guides/build_end_to_end_rag_pipeline/007_multimodal_input_handling/pipeline.py,79-80,IN_SYNC
guides/build-end-to-end-rag-pipeline/multimodal-input-handling#2-run-the-pipeline/configure-the-pipeline-state-for-testing:1,guides/build-end-to-end-rag-pipeline/multimodal-input-handling.md,how-to-guides/build_end_to_end_rag_pipeline/007_multimodal_input_handling/pipeline.py,83-94,IN_SYNC
guides/build-end-to-end-rag-pipeline/multimodal-input-handling#provider-specific-attachment-options:1,guides/build-end-to-end-rag-pipeline/multimodal-input-handling.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/parallel-pipeline-processing#installation/linux-macos-or-windows-wsl:1,guides/build-end-to-end-rag-pipeline/parallel-pipeline-processing.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/parallel-pipeline-processing#installation/windows-powershell:1,guides/build-end-to-end-rag-pipeline/parallel-pipeline-processing.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/parallel-pipeline-processing#installation/windows-command-prompt:1,guides/build-end-to-end-rag-pipeline/parallel-pipeline-processing.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/parallel-pipeline-processing#project-setup/project-structure:1,guides/build-end-to-end-rag-pipeline/parallel-pipeline-processing.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/parallel-pipeline-processing#the-problem-sequential-processing-bottleneck:1,guides/build-end-to-end-rag-pipeline/parallel-pipeline-processing.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/parallel-pipeline-processing#the-problem-sequential-processing-bottleneck:2,guides/build-end-to-end-rag-pipeline/parallel-pipeline-processing.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/parallel-pipeline-processing#solution-implementing-parallel-steps:1,guides/build-end-to-end-rag-pipeline/parallel-pipeline-processing.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/parallel-pipeline-processing#solution-implementing-parallel-steps:2,guides/build-end-to-end-rag-pipeline/parallel-pipeline-processing.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/pipeline-step-exclusion#installation/linux-macos-or-windows-wsl:1,guides/build-end-to-end-rag-pipeline/pipeline-step-exclusion.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/pipeline-step-exclusion#installation/windows-powershell:1,guides/build-end-to-end-rag-pipeline/pipeline-step-exclusion.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/pipeline-step-exclusion#installation/windows-command-prompt:1,guides/build-end-to-end-rag-pipeline/pipeline-step-exclusion.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/pipeline-step-exclusion#project-setup/project-structure:1,guides/build-end-to-end-rag-pipeline/pipeline-step-exclusion.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/pipeline-step-exclusion#basic-use:1,guides/build-end-to-end-rag-pipeline/pipeline-step-exclusion.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/pipeline-step-exclusion#step-exclusion-for-conditional-step:1,guides/build-end-to-end-rag-pipeline/pipeline-step-exclusion.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/pipeline-step-exclusion#step-exclusion-for-complex-pipeline-structures:1,guides/build-end-to-end-rag-pipeline/pipeline-step-exclusion.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/pipeline-step-exclusion#dynamic-pipeline-using-step-exclusion:1,guides/build-end-to-end-rag-pipeline/pipeline-step-exclusion.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/pipeline-step-exclusion#step-exclusion-lifecycle:1,guides/build-end-to-end-rag-pipeline/pipeline-step-exclusion.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/query-transformation#installation/linux-macos-or-windows-wsl:1,guides/build-end-to-end-rag-pipeline/query-transformation.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/query-transformation#installation/windows-powershell:1,guides/build-end-to-end-rag-pipeline/query-transformation.md,,,UNMAPPED
guides/build-end-to-end-rag-pipeline/query-transformation#installation/windows-command-prompt:1,guides/build-end-to-end-rag-pipeline/query-transformation.md,,,UNMAPPED
